,movie_image,movie_name,movie_year,certificate,movie_duration,genre,movie_status,rating,rating_metascore,movie_description,cast_detail,movie_votes_detail
10,"https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_UX67_CR0,0,67,98_AL_.jpg",Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,"Action, Adventure, Comedy",,7.6,67 Metascore,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.","Director: James Gunn | Stars: Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Votes: 710,826 | Gross: $389.81M"
11,"https://m.media-amazon.com/images/M/MV5BNzZmOTU1ZTEtYzVhNi00NzQxLWI5ZjAtNWNhNjEwY2E3YmZjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Fast X,(2023),PG-13,141 min,"Action, Adventure, Crime",,6.4,55 Metascore,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Director: Louis Leterrier | Stars: Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster","Votes: 14,655"
12,"https://m.media-amazon.com/images/M/MV5BMTcyM2IzZjktYmFkOS00MWMzLWE2ZDAtNGIzMjZlOWU2MmY0XkEyXkFqcGdeQXVyMTUxNTk0NTU4._V1_UX67_CR0,0,67,98_AL_.jpg",AKA,(2023),TV-MA,122 min,"Action, Crime, Thriller",,6.6,,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss's young son.,"Director: Morgan S. Dalibert | Stars: Alban Lenoir, Eric Cantona, Thibault de Montalembert, Sveva Alviti","Votes: 7,596"
13,"https://m.media-amazon.com/images/M/MV5BMWYwMzNkOWEtNjA3YS00YjE5LTlkMjYtMmRjMjExNjA1NDM0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",Sisu,(2022),R,91 min,"Action, War",,7.0,70 Metascore,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.","Director: Jalmari Helander | Stars: Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo","Votes: 17,139"
14,"https://m.media-amazon.com/images/M/MV5BYmZlZTMzZTAtZGM5OS00MWU0LTg5YmMtZDJkMDBlMjAxNjViXkEyXkFqcGdeQXVyNDY2NDU1MzA@._V1_UX67_CR0,0,67,98_AL_.jpg",The Flash,(2023),PG-13,144 min,"Action, Adventure, Fantasy",Completed,,,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Director: Andy Muschietti | Stars: Ben Affleck, Sasha Calle, Michael Keaton, Ezra Miller",
15,"https://m.media-amazon.com/images/M/MV5BODZhNzlmOGItMWUyYS00Y2Q5LWFlNzMtM2I2NDFkM2ZkYmE1XkEyXkFqcGdeQXVyMTU5OTA4NTIz._V1_UX67_CR0,0,67,98_AL_.jpg",Ant-Man and the Wasp: Quantumania,(2023),PG-13,124 min,"Action, Adventure, Comedy",,6.2,48 Metascore,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Director: Peyton Reed | Stars: Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer","Votes: 146,460"
16,"https://m.media-amazon.com/images/M/MV5BNzQ1ODUzYjktMzRiMS00ODNiLWI4NzQtOTRiN2VlNTNmODFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Spider-Man: Across the Spider-Verse,(2023),,140 min,"Animation, Action, Adventure",Completed,,,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Directors: Joaquim Dos Santos, Kemp Powers, Justin K. Thompson | Stars: Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson",
17,"https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Dune,(2021),PG-13,155 min,"Action, Adventure, Drama",,8.0,74 Metascore,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Director: Denis Villeneuve | Stars: Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac","Votes: 674,701 | Gross: $108.33M"
18,"https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_UY98_CR0,0,67,98_AL_.jpg",Avatar: The Way of Water,(2022),PG-13,192 min,"Action, Adventure, Fantasy",,7.7,67 Metascore,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Director: James Cameron | Stars: Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","Votes: 380,701 | Gross: $659.68M"
19,"https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",Heat,(1995),R,170 min,"Action, Crime, Drama",,8.3,76 Metascore,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Director: Michael Mann | Stars: Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Votes: 674,115 | Gross: $67.44M"
